No.,Channel Name,Channel Type,RX Frequency[MHz],TX Frequency[MHz],Power,Band Width,Scan List,TX Admit,Emergency System,Squelch Level,APRS Report Type,Forbid TX,APRS Receive,Forbid Talkaround,Auto Scan,Lone Work,Emergency Indicator,Emergency ACK,Analog APRS PTT Mode,Digital APRS PTT Mode,TX Contact,RX Group List,Color Code,Time Slot,Encryption,Encryption ID,APRS Report Channel,Direct Dual Mode,Private Confirm,Short Data Confirm,DMR ID,CTC/DCS Decode,CTC/DCS Encode,Scramble,RX Squelch Mode,Signaling Type,PTT ID,VOX Function,PTT ID Display
112,POR Monitor TS1,Digital,440.80000,445.80000,High,12.5KHz,None,Channel Idle,None,2,Off,1,0,0,0,0,0,0,0,0,None,DMRVA,1,Slot 1,0,None,1,0,0,0,,None,None,None,Carrier/CTC,None,OFF,0,0
113,POR Monitor TS2,Digital,440.80000,445.80000,High,12.5KHz,None,Channel Idle,None,2,Off,1,0,0,0,0,0,0,0,0,None,DMRVA,1,Slot 2,0,None,1,0,0,0,,None,None,None,Carrier/CTC,None,OFF,0,0
114,POW RVA Metro,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,Local,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
115,POW VA Statewide,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,VA Statewide,None,1,Slot 2,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
116,POW HEARS,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,HEARS Link,None,1,Slot 2,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
117,POW TAC A,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,TAC A,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
118,POW TAC B,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,TAC B,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
119,POW VA Shen Vall,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,VA Shen Valley,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
120,POW VA Southwest,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,VA Southwest,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
121,POW VA Peninsula,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,VA Peninsula,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
122,POW VA Tidewater,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,VA Tidewater,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
123,POW Quiet,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,Local,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
124,POW Echo Test,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,0,0,0,0,0,0,Parrot,None,1,Slot 1,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
125,POW Clear Timesl,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,0,0,0,1,0,0,0,0,0,Clear Timeslot,None,1,Slot 2,0,None,1,0,0,0,CHANGEME,None,None,None,Carrier/CTC,None,OFF,0,0
126,POW Monitor TS1,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,1,0,0,0,0,0,0,0,0,None,DMRVA,1,Slot 1,0,None,1,0,0,0,³« ,None,None,None,Carrier/CTC,None,OFF,0,0
127,POW Monitor TS2,Digital,443.35000,448.35000,High,12.5KHz,None,Channel Idle,None,2,Off,1,0,0,0,0,0,0,0,0,None,DMRVA,1,Slot 2,0,None,1,0,0,0,³« ,None,None,None,Carrier/CTC,None,OFF,0,0
128,RATS UHF,Analog,442.55000,447.55000,High,25KHz,None,Allow TX,None,2,Off,0,0,0,0,0,0,0,0,0,WV Statewide,None,0,Slot 1,0,None,1,0,0,0,CHANGEME,74.4,74.4,None,Carrier/CTC,None,OFF,0,0
